,,Chicken,ChickenOverAll,ChickenAlive,Thirst,Hunger,Age,Predator,,Dog,DogOverAll,DogAlive,Thirst,Hunger,Age,Predator,,Grain
>1,<500,1-500,269.7,241.852380952381,1.26190476190476,0.214285714285714,0,26.3714285714286,,1-500,62.9090909090909,62.9090909090909,0,0,0,0,,
>501,<1000,501-1000,903.981981981982,626.3003003003,74.0570570570571,50.7087087087087,97.2117117117117,55.7042042042042,,501-1000,128.096385542169,124.403614457831,2.51807228915663,1.17469879518072,0,0,,
>1001,<1500,1001-1500,2586.5671641791,1182.58582089552,217.411691542289,783.810945273632,298.613184079602,104.14552238806,,1001-1500,256.569620253165,184.800632911392,21.496835443038,9.2373417721519,41.0348101265823,0,,
>1501,<2000,1501-2000,5237.73550724638,1544.71618357488,282.442028985507,2786.74879227053,449.68115942029,174.147342995169,,1501-2000,460.723004694836,282.838028169014,47.2840375586855,45.4882629107981,85.112676056338,0,,
>2001,<2500,2001-2500,8257.99878640777,1677.02791262136,352.587378640777,5452.15169902913,504.597087378641,271.634708737864,,2001-2500,763.613259668508,405.80847145488,74.0165745856354,123.672191528545,160.116022099448,0,,
>2501,<3000,2501-3000,11206.0267965895,1556.34713763703,428.020706455542,8244.15468940317,545.465286236297,432.038976857491,,2501-3000,1234.8623853211,611.396024464832,115.481651376147,257.117737003058,250.866972477064,0,,
>3001,<3500,3001-3500,13049.6774611399,861.50518134715,496.959844559586,10476.1334196891,583.112694300518,631.966321243523,,3001-3500,1957.75790921596,939.07015130674,158.118294360385,475.980742778542,384.588720770289,0,,
>3501,<4000,3501-4000,13704.887245841,262.497227356747,526.144177449168,11492.0739371534,603.8853974122,820.286506469501,,3501-4000,3089.50757575758,1385.35227272727,210.074494949495,923.036616161616,571.044191919192,0,,
>4001,<4500,4001-4500,13814.7,29.9571428571429,539,11700.9714285714,608,936.771428571429,,4001-4500,4227.65553602812,1537.87346221441,254.982425307557,1669.62917398946,765.170474516696,0,,
>4501,<5000,4501-5000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,4501-5000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
>5001,<5500,5001-5500,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,5001-5500,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
